SectionID,SectionName,SubSectionID,ItemID,ContentID,ContentEnglish,ContentChinese
3,Operation of the American Science and Security Platform,3.a,3.a.v,3.a.v.1,"secure access to appropriate datasets, including proprietary, federally curated, and open scientific datasets, in addition to synthetic data generated through DOE computing resources, consistent with applicable law; applicable classification, privacy, and intellectual property protections; and Federal data-access and data-management standards; and",对适当数据集的安全访问，包括专有、联邦整理和开放科学数据集，以及通过能源部计算资源生成的合成数据，符合适用法律、分类、隐私和知识产权保护，以及联邦数据访问和管理标准；
3,Operation of the American Science and Security Platform,3.a,3.a.vi,3.a.vi.1,experimental and production tools to enable autonomous and AI-augmented experimentation and manufacturing in high-impact domains.,实验和生产工具，以实现高影响领域的自主和人工智能增强实验及制造。
3,Operation of the American Science and Security Platform,3.b,3.b.0,3.b.0.1,"The Secretary shall take necessary steps to ensure that the Platform is operated in a manner that meets security requirements consistent with its national security and competitiveness mission, including applicable classification, supply chain security, and Federal cybersecurity standards and best practices.",部长应采取必要措施，确保平台的运行符合其国家安全和竞争力使命的安全要求，包括适用的分类、供应链安全以及联邦网络安全标准和最佳实践。
3,Operation of the American Science and Security Platform,3.c,3.c.0,3.c.0.1,"Within 90 days of the date of this order, the Secretary shall identify Federal computing, storage, and networking resources available to supporr the Mission, including both DOE on-premises and cloud-based high-performance computing systems, and resources available thorugh industry partners.",在本命令发布之日起 90 天内，部长应识别可用于支持使命的联邦计算、存储和网络资源，包括能源部的本地和云端高性能计算系统，以及行业合作伙伴可提供的资源。
3,Operation of the American Science and Security Platform,3.c,3.c.0,3.c.0.2,The Secretary shall also identify any additional partnerships or infrastructure enhancements that could support the computational foundation for the Platform.,部长还应识别任何可支持平台计算基础的额外合作伙伴关系或基础设施增强。
3,Operation of the American Science and Security Platform,3.d,3.d.0,3.d.0.1,"Within 120 days of the date of this order, the Secretary shall:",在本命令发布之日起 120 天内，部长应：
3,Operation of the American Science and Security Platform,3.d,3.d.i,3.d.i.1,"identify a set of initial data and model assets for use in the Mission, including digitizaton, standardization, metadata, and provenance tracking; and",确定用于使命的一组初始数据和模型资产，包括数字化、标准化、元数据和来源跟踪；
3,Operation of the American Science and Security Platform,3.d,3.d.ii,3.d.i.ii,"develop a plan, with appropriate risk-based cybersecurity measures, for incorporating datasets from federally funded research, other agencies, academic institutions, and approved private-sector partners, ans appropriate.",制定计划，采用适当的基于风险的网络安全措施，将来自联邦资助研究、其他机构、学术机构和批准的私营部门合作伙伴的数据集纳入其中。
3,Operation of the American Science and Security Platform,3.e,3.e.0,3.e.0.1,"Within 240 days of the date of this order, the Secretary shall review capabilities across the DOE national laboratories and other participating Federal research facilities for robotic laboratories and production facilities with the ability to engage in AI-directed experimentation and manufacturing, including automated and AI-augmented workflows and the related technical and operational standards needed.",在本命令发布之日起 240 天内，部长应审查能源部国家实验室和其他参与的联邦研究设施的能力，以开展人工智能指导的实验和制造，包括自动化和人工智能增强的工作流程，以及所需的相关技术和操作标准。
3,Operation of the American Science and Security Platform,3.f,3.f.0,3.f.0.1,"Within 270 days of the date of this order, the Secretary shall, consistent with applicable law and subject to available appropriations, seek to demonstrate an initial operating capability of the Platform for at least one of the national science and technology challenges identified pursuant to section 4 of this order.",在本命令发布之日起 270 天内，部长应在符合适用法律和可用拨款的前提下，力争展示平台在至少一个国家科学和技术挑战上的初始运行能力。
4,Identification of National Science and Technology Challenges,4.a,4.a.0,1,"Within 60 days of the date of this order, the Secretary shall idenify and submit to the APST a detailed list of at least 20 science and technology challenges of national importance that the Secretary assesses to have potential to be addressed through the Mission and that span priority domains consistent with National Science and Technology Memorandum 2 of September 23, 2025, including:",在本命令发布之日起 60 天内，部长应识别并提交给 APST 一份至少包含 20 项国家重要科学和技术挑战的详细清单，这些挑战有望通过使命解决，并涵盖与 2025 年 9 月 23 日国家科学技术备忘录 2 一致的优先领域，包括：
4,Identification of National Science and Technology Challenges,4.a,4.a.i,4.a.i.1,advanced manufacturing;,高级制造；
4,Identification of National Science and Technology Challenges,4.a,4.a.ii,4.a.ii.1,biotechnology;,生物技术；
4,Identification of National Science and Technology Challenges,4.a,4.a.iii,4.a.iii.1,critical materials;,关键材料；
4,Identification of National Science and Technology Challenges,4.a,4.a.iv,4.a.iv.1,nuclear fission and fusion energy;,核裂变和聚变能源；
4,Identification of National Science and Technology Challenges,4.a,4.a.v,4.a.v.1,quantum information science; and,量子信息科学；
4,Identification of National Science and Technology Challenges,4.a,4.a.vi,4.a.vi.i,semiconductors and microelectronics,半导体和微电子。
4,Identification of National Science and Technology Challenges,4.b,4.b.0,4.b.0.1,"Within 30 days of submission of the list described in subsection (a) of this section, the APST shall review the proposed list and working with participating agency members of the NSTC, coordinate the development of an expanded list that can serve as the initial set of national science and technology challenges to be addressed by the Mission, including additional challenges proposed by participating agencies through the NSTC, subject to available appropriations.",在提交上述清单后的 30 天内，APST 应审查拟议清单，并与 NSTC 的参与机构成员合作，协调制定一份扩展清单，作为使命要解决的国家科学和技术挑战的初始集合，包括参与机构通过 NSTC 提出的其他挑战，前提是有可用拨款。
4,Identification of National Science and Technology Challenges,4.c,4.c.0,4.c.0.1,"Following development of the expanded list described in subsection (b) of this section, agencies participating in the Mission shall use the Platform to advance research and development aligned with the national science and technology challenges identified in the expanded list, consistent with applicable law and their respective missions, and subject to available appropriations.",在制定扩展清单后，参与使命的机构应使用平台推进与扩展清单中确定的国家科学和技术挑战一致的研发，符合适用法律和各自使命，并在可用拨款范围内。
4,Identification of National Science and Technology Challenges,4.d,4.d.0,4.d.0.1,"On an annual basis thereafter, the Secretary shall review and update the list of challenges in consultation with the APST and the NSTC to reflect progress achieved, emerging national needs, and alignment with my Administration's research and development priorities.",此后，部长应每年审查并更新挑战清单，与 APST 和 NSTC 协商，以反映取得的进展、新出现的国家需求，以及与我政府研发优先事项的一致性。
5,Interagency Coordination and External Engagement,5.a,5.a.0,5.a.0.1,"The APST, through the NSTC, and with support from the Federal Chief Data Officer Council and the Chief AI Officer Council, shall convene relevant and interested agencies to:",APST 应通过 NSTC，并在联邦首席数据官委员会和首席人工智能官委员会的支持下，召集相关和有兴趣的机构，以：
5,Interagency Coordination and External Engagement,5.a,5.a.i,1,"assist participating agencies in aligning, to the extent permitted by law, their AI-related programs, datasets, and research and development activities with the objectives of the Mission in their respective areas of expertise, while avoiding duplication of effort across the Federal Government and promoting interoperability;",协助参与机构在法律允许的范围内，使其人工智能相关项目、数据集和研发活动与使命目标保持一致，同时避免联邦政府内部重复工作并促进互操作性；
5,Interagency Coordination and External Engagement,5.a,5.a.ii,1,identify data source that may support the Mission's aim;,识别可能支持使命目标的数据源；
5,Interagency Coordination and External Engagement,5.a,5.a.iii,1,"develop a process and resourcing paln in coordination with participating agencies for intergrating appropriate and available agency data and infrastructure into the Mission, to the extent permitted by law and subject to available appropriations, including methods under which all agencies contributing to the Mission are encouraged to implement appropriate risk-based security measures that reflect cybersecurity best practices;",与参与机构协调制定整合适当和可用机构数据及基础设施的流程和资源计划，法律允许且在可用拨款范围内，包括鼓励所有为使命做出贡献的机构实施反映网络安全最佳实践的适当基于风险的安全措施的方法；
5,Interagency Coordination and External Engagement,5.a,5.a.iv,1,"launch coordinated funding opportunities or prize competitions across participating agencies, to the extent permitted by law and subject to available appropriations, to incentivize private-sector participation in AI-driven scientific research aligned with Mission objectives; and",启动跨参与机构的协调资助机会或奖励竞赛，法律允许且在可用拨款范围内，以激励私营部门参与与使命目标一致的人工智能驱动科学研究；
5,Interagency Coordination and External Engagement,5.a,5.a.v,i,"establish mechanisms to coordinate research and development funding opportunities and experimental resources across participating agencies, ensuring agencies can participate effectively in the Mission.",建立机制协调跨参与机构的研发资助机会和实验资源，确保机构能够有效参与使命。
5,Interagency Coordination and External Engagement,5.b,5.b.0,5.b.0.1,"The APST shall coordinate with relevant agencies in establishing, consistent with existing authorizing statutes and subject to available appropriations, competitve programs for research fellowships, internships, and apprenticeships focused on the application of AI to scientific domains identified as national challenges for the Mission, to include placement of program participants at DOE national laboratories and other participating Federal research facilities, with the purpose of providing access to the Platform and training in AI-enabled scientific discovery.",APST 应与相关机构协调，建立符合现有授权法规且在可用拨款范围内的竞争性项目，提供专注于人工智能在国家挑战科学领域应用的研究奖学金、实习和学徒机会，包括将项目参与者安排在能源部国家实验室和其他参与的联邦研究设施，旨在提供平台访问和人工智能驱动科学发现的培训。
5,Interagency Coordination and External Engagement,5.c,5.c.0,5.c.0.1,"The Secretary, in coordination with the APST and the Special Advisor for AI and Crypto, shall establish mechanisms for agency collaboration with external partners possessing advanced AI, data, or computing capabilities or scientific domain expertise, including through cooperative research and development agreements, user facility partnerships, or other appropriate arrangements with external entities to support and enhance the activities of the Mission, and shall ensure that such partnerships are structured to preserve the security of Federal research assets and maximize public benefit.",能源部长应与总统科学与技术助理（APST）及人工智能和加密特别顾问协调，建立机制，使机构能够与具备先进人工智能、数据或计算能力或科学领域专业知识的外部合作伙伴开展协作，包括通过合作研究与开发协议、用户设施合作伙伴关系或其他适当安排，以支持和增强使命活动，并确保这些合作关系的结构能够维护联邦研究资产的安全并最大化公共利益。
5,Interagency Coordination and External Engagement,5.c,5.c.0,5.c.0.2,"To facilitate these collaborations, the Secretary shall:",为促进这些合作，部长应：
5,Interagency Coordination and External Engagement,5.c,5.c.i,5.c.i.1,"develop standardized partnership frameworks, including cooperative research and development or other appropriate agreements, and data-use and model-sharing agreements;",制定标准化的合作框架，包括合作研究与开发或其他适当协议，以及数据使用和模型共享协议；
5,Interagency Coordination and External Engagement,5.c,5.c.ii,5.c.ii.1,"establish clear policies for ownership, licensing, trade-secret protections, and commercialization of intellectual property developed under the Mission, including innovations arising from AI-directed experiments;",建立明确的政策，涵盖在使命下开发的知识产权的所有权、许可、商业秘密保护和商业化，包括源自人工智能指导实验的创新；
5,Interagency Coordination and External Engagement,5.c,5.c.iii,5.c.iii.1,"implement uniform and strinent data access and management processes and cybersecurity standards for non-Federal collaborators accessing datasets, models and computing environments, including measures requiring compliance with classification, privacy, and export-control requirements, as well as other applicable laws; and",实施统一且严格的数据访问和管理流程，以及非联邦合作伙伴访问数据集、模型和计算环境的网络安全标准，包括要求遵守分类、隐私和出口管制要求，以及其他适用法律的措施；以及
5,Interagency Coordination and External Engagement,5.c,5.c.iv,5.c.iv.1,"establish procedures to ensure the highest standards of vetting and authorization of users and collaborators seeking access to the resources of the Mission and associated research activites, including the Platform and associated Federal research resources.",建立程序，确保对寻求访问使命资源及相关研究活动（包括平台和相关联邦研究资源）的用户和合作伙伴进行最高标准的审查和授权。
5,Interagency Coordination and External Engagement,5.d,5.d.0,5.d.0.1,"The APST, through the NSTC, shall, to the extent appropriate, identify opportunities for international scientific collaboration to support activities under the Mission.",APST应通过NSTC，在适当范围内，识别支持使命活动的国际科学合作机会。
6,Evaluation and Reporting,6.a,6.a.0,6.a.0.1,"Within 1 year of the date of this order, and on an annual basis thereafter, the Secretary shall submit a report to the President, through the APST and the Director of the Office of Management and Budget, describing:",在本命令发布之日起一年内，并在此后每年，部长应通过APST和管理与预算办公室主任向总统提交报告，报告内容包括：
6,Evaluation and Reporting,6.a,6.a.i,6.a.i.1,the Platform's operational status and capabilities;,平台的运行状态和能力；
6,Evaluation and Reporting,6.a,6.a.ii,6.a.ii.1,"progress toward integration across DOE national laboratories and other participating Federal research partners, including shared access to computing resources, data infrastructure, and research facilities;",能源部国家实验室及其他参与的联邦研究合作伙伴之间的整合进展，包括共享计算资源、数据基础设施和研究设施的情况；
6,Evaluation and Reporting,6.a,6.a.iii,6.a.iii.1,"the status of user engagement, including partcipation of student researcher and any related training;",用户参与情况，包括学生研究人员的参与及任何相关培训；
6,Evaluation and Reporting,6.a,6.a.iv,6.a.iv.1,"updates on research efforts and outcomes achieved, including measureable scientific advances, publications, and prototype technologies;",研究工作和取得成果的更新，包括可衡量的科学进展、出版物和原型技术；
6,Evaluation and Reporting,6.a,6.a.v,6.a.v.1,"the scope and outcomes of public-private partnerships, including collaborative research projects and any technology transitions or commercialization activities; and",公私合作伙伴关系的范围和成果，包括协作研究项目以及任何技术转移或商业化活动；以及
6,Evaluation and Reporting,6.a,6.a.vi,6.a.vi.1,any identified needs or recommendations for authorities or interagency support to achieve the Mission's objectives.,为实现使命目标所需的权限或跨机构支持的任何已识别需求或建议。
7,General Provisions,7.a,7.a.0,7.a.0.1,Nothing in this order shall be construed to impair or otherwise affect:,本命令不得解释为削弱或以其他方式影响：
7,General Provisions,7.a,7.a.i,7.a.i.1,"the authority granted by law to an executive departement or agency, or the head thereof; or",法律授予行政部门或机构或其负责人的权力；或
7,General Provisions,7.a,7.a.ii,7.a.ii.1,"the functions of the Director of the Office of Management and Budget relating to budgetary, administrative, or legislative proposals.",管理与预算办公室主任在预算、行政或立法提案方面的职能。
7,General Provisions,7.b,7.b.0,7.b.0.a,This order shall be implemented consistent with applicable law and subject to the availability of appropriations.,本命令应根据适用法律实施，并以拨款可用性为前提。
7,General Provisions,7.c,7.c.0,7.c.0.1,"This order is not intended to, and does not, create any right or benefit, substantive or procedural, enforceable at law or in equity by any party against the United States, its departments, agencies, or entites, its officers, employees, or agents, or any other person.",本命令无意且不创建任何权利或利益，无论是实质性还是程序性，任何一方均不得在法律或衡平法上对美国、其部门、机构或实体、其官员、雇员或代理人或任何其他人强制执行。
7,General Provisions,7.d,7.d.0,7.d.0.1,The costs for publication of this order shall be borne by the Departement of Energy (DOE),本命令的发布费用应由能源部（DOE）承担。
