ChapterID,ChapterContent,ChapterContentOriginal,ArticleID,ArticleContent,ArticleContentOriginal,ParagraphID,ParagraphContent,ParagraphContentOriginal,ItemID,ItemContent,ItemContentOriginal
1,General Provisions,총칙,1.2,(Definitions) The terms used in this Act have the following meanings,(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다.,1.2.4,"“High-impact artificial intelligence” refers to an artificial intelligence system that may have a significant impact on or pose a risk to human life, physical safety, and fundamental rights, and is utilized in any of the following areas:",,1.2.4.9,"Decision-making by the state, local governments, public institutions under Article 4 of the Act on the Management of Public Institutions, etc. (hereinafter referred to as “state institutions, etc.”) that affect the public, such as verification and determination of qualifications necessary for the provision of public services or collection of fees.",
1,General Provisions,총칙,1.2,(Definitions) The terms used in this Act have the following meanings,(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다.,1.2.4,"“High-impact artificial intelligence” refers to an artificial intelligence system that may have a significant impact on or pose a risk to human life, physical safety, and fundamental rights, and is utilized in any of the following areas:",,1.2.4.10,"Tea. Student evaluation in early childhood education, elementary education, and secondary education pursuant to Article 9, Paragraph 1 of the Framework Act on Education.",
1,General Provisions,총칙,1.2,(Definitions) The terms used in this Act have the following meanings,(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다.,1.2.4,"“High-impact artificial intelligence” refers to an artificial intelligence system that may have a significant impact on or pose a risk to human life, physical safety, and fundamental rights, and is utilized in any of the following areas:",,1.2.4.11,"Ka. Other areas that have a significant impact on the safety of human life and body and the protection of basic rights, as determined by Presidential Decree.",
1,General Provisions,총칙,1.2,(Definitions) The terms used in this Act have the following meanings,(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다.,1.2.5,"“Generative artificial intelligence” refers to an artificial intelligence system that generates text, sounds, images, videos, and other various outputs by imitating the structure and characteristics of input data (data as defined in Article 2, Paragraph 1 of the Framework Act on Promotion of Data Industry and Utilization; hereinafter the same shall apply).",,1.2.5.0,,
1,General Provisions,총칙,1.2,(Definitions) The terms used in this Act have the following meanings,(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다.,1.2.6,"“Artificial Intelligence Industry” refers to an industry that develops, manufactures, produces, or distributes products utilizing artificial intelligence or artificial intelligence technology (hereinafter referred to as “AI Products”) or provides services related thereto (hereinafter referred to as “AI Services”).",,1.2.6.0,,
1,General Provisions,총칙,1.2,(Definitions) The terms used in this Act have the following meanings,(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다.,1.2.7,"“Artificial Intelligence Business Operator” refers to a corporation, organization, individual, or government agency that engages in business related to the artificial intelligence industry and falls under any of the following categories.",,1.2.7.1,Artificial intelligence development business operator: A person who develops and provides artificial intelligence.,
1,General Provisions,총칙,1.2,(Definitions) The terms used in this Act have the following meanings,(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다.,1.2.7,"“Artificial Intelligence Business Operator” refers to a corporation, organization, individual, or government agency that engages in business related to the artificial intelligence industry and falls under any of the following categories.",,1.2.7.2,Artificial Intelligence Utilization Business Operator: A person who provides artificial intelligence products or services using artificial intelligence provided by the business operator in Item A.,
1,General Provisions,총칙,1.2,(Definitions) The terms used in this Act have the following meanings,(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다.,1.2.8,“User” refers to a person who receives artificial intelligence products or artificial intelligence services.,,1.2.8.0,,
1,General Provisions,총칙,1.2,(Definitions) The terms used in this Act have the following meanings,(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다.,1.2.9,"“Affected person” refers to a person whose life, physical safety, and fundamental rights are significantly affected by an artificial intelligence product or artificial intelligence service.",,1.2.9.0,,
1,General Provisions,총칙,1.2,(Definitions) The terms used in this Act have the following meanings,(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다.,1.2.10,"“Artificial Intelligence Society” refers to a society that creates value and drives development in all fields, including industry, economy, society, culture, and administration, through artificial intelligence.",,1.2.10.0,,
1,General Provisions,총칙,1.2,(Definitions) The terms used in this Act have the following meanings,(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다.,1.2.11,"“Artificial Intelligence Ethics” refers to the ethical standards that members of society must observe in all areas, including the development, provision, and use of artificial intelligence, in order to realize a safe and trustworthy artificial intelligence society that protects the rights, interests, lives, and property of citizens, based on respect for human dignity.",,1.2.11.0,,
